;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905,0,0,0,3,BOX ELDER
2,30002,20.0,105.60000000000001,5.28,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.200000000000001,1.0999999999999999,66905,0,0,0,3,BOX ELDER
3,30003,15.4,61.5,3.9935064935064934,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.9,51492,0,0,0,3,BOX ELDER
4,30004,4.1000000000000005,13.0,3.170731707317073,0.0,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.19999999999999998,51492,0,0,0,3,BOX ELDER
5,30005,60.0,168.1,2.8016666666666667,7.7,0.7,2.1,4.9,14.9,0.39999999999999997,0.3,1.5,0.6,0.19999999999999998,0.6,2.8000000000000003,1.3,0.0,0.0,3.8000000000000003,3.4,68948,0,0,0,3,BOX ELDER
6,30006,6.3999999999999995,19.7,3.078125,4.3999999999999995,0.0,4.3999999999999995,0.0,5.3999999999999995,0.0,0.0,0.0,4.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.39999999999999997,51492,0,0,0,3,BOX ELDER
7,30007,44.0,119.39999999999999,2.7136363636363634,54.400000000000006,5.3,26.6,22.5,143.29999999999998,3.4,1.9000000000000001,8.200000000000001,18.400000000000002,1.3,3.5,2.8000000000000003,14.9,85.8,0.0,0.6,2.5,51492,0,0,0,3,BOX ELDER
8,30008,47.1,145.6,3.0912951167728235,43.8,11.399999999999999,0.7,31.699999999999996,48.400000000000006,11.299999999999999,0.09999999999999999,0.5,0.19999999999999998,29.099999999999998,0.19999999999999998,0.19999999999999998,2.1999999999999997,0.0,0.0,1.9000000000000001,2.6999999999999997,71055,0,0,0,3,BOX ELDER
9,30009,25.400000000000002,30.400000000000002,1.1968503937007875,67.0,2.5,55.9,8.6,73.5,1.4000000000000001,1.0999999999999999,4.7,51.199999999999996,0.7999999999999999,2.0,1.5999999999999999,4.2,0.0,0.0,5.1000000000000005,1.4000000000000001,51492,0,0,0,3,BOX ELDER
10,30010,18.099999999999998,57.4,3.1712707182320443,52.6,0.0,52.6,0.0,54.2,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,51492,0,0,0,3,BOX ELDER
11,30011,5.8999999999999995,16.5,2.7966101694915255,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,71342,0,0,0,3,BOX ELDER
12,30012,17.0,55.800000000000004,3.282352941176471,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0,71342,0,0,0,3,BOX ELDER
13,30013,7.0,19.5,2.7857142857142856,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999997,0.39999999999999997,71342,0,0,0,3,BOX ELDER
14,30014,8.799999999999999,24.5,2.7840909090909096,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.5,71342,0,0,0,3,BOX ELDER
15,30015,1.0,2.8000000000000003,2.8000000000000003,293.6,15.899999999999999,215.10000000000002,62.599999999999994,315.09999999999997,9.0,6.8999999999999995,123.5,91.60000000000001,4.8999999999999995,13.0,10.5,34.199999999999996,19.5,0.0,1.9000000000000001,0.09999999999999999,66905,0,0,0,3,BOX ELDER
16,30016,23.099999999999998,65.2,2.822510822510823,66.9,0.0,41.5,25.400000000000002,92.3,0.0,0.0,0.5,41.0,0.0,0.0,0.0,25.400000000000002,0.0,0.0,24.099999999999998,1.3,68948,0,0,0,3,BOX ELDER
17,30017,24.3,131.5,5.411522633744855,0.0,0.0,0.0,0.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,1.4000000000000001,71342,0,0,0,3,BOX ELDER
18,30018,0.0,0.0,0.0,764.5999999999999,36.800000000000004,599.5,128.29999999999998,769.6999999999999,20.900000000000002,15.9,460.09999999999997,139.4,11.299999999999999,30.0,24.099999999999998,62.9,0.0,0.0,5.1000000000000005,0.0,71342,0,0,0,3,BOX ELDER
19,30019,182.79999999999998,615.6,3.367614879649891,45.3,14.999999999999998,16.3,14.0,66.39999999999999,13.299999999999999,1.7,7.7,8.6,1.2,3.3000000000000003,2.6,6.8999999999999995,0.0,0.0,10.799999999999999,10.299999999999999,68948,0,0,0,3,BOX ELDER
20,30020,167.9,410.7,2.446098868374032,123.3,19.8,32.7,70.8,146.70000000000002,14.6,5.2,23.0,9.700000000000001,3.6999999999999997,9.799999999999999,7.8999999999999995,49.4,0.0,0.0,13.9,9.5,79483,0,0,0,3,BOX ELDER
21,30021,13.9,39.199999999999996,2.820143884892086,445.59999999999997,15.899999999999999,374.2,55.5,467.8999999999999,9.0,6.8999999999999995,344.8,29.400000000000002,4.8999999999999995,13.0,10.4,27.2,0.0,0.0,21.5,0.7999999999999999,68948,0,0,0,3,BOX ELDER
22,30022,30.599999999999998,86.3,2.820261437908497,67.4,8.1,29.8,29.5,100.80000000000001,4.3999999999999995,3.6999999999999997,23.7,6.1000000000000005,2.6999999999999997,6.8,5.6000000000000005,14.4,0.0,0.0,31.7,1.7,68948,0,0,0,3,BOX ELDER
23,30023,42.6,186.20000000000002,4.370892018779343,142.0,15.100000000000001,73.0,53.900000000000006,166.6,8.4,6.7,46.5,26.5,4.8,12.5,10.200000000000001,26.400000000000002,0.0,0.0,22.2,2.4,68948,0,0,0,3,BOX ELDER
24,30024,122.10000000000001,480.7,3.9369369369369367,9.3,1.1,2.9999999999999996,5.2,28.9,0.6,0.5,2.1999999999999997,0.7999999999999999,0.39999999999999997,0.9,1.9000000000000001,2.0,0.0,0.0,12.700000000000001,6.8999999999999995,68948,0,0,0,3,BOX ELDER
25,30025,299.3,829.8000000000001,2.7724690945539594,153.70000000000002,7.3,12.299999999999999,134.10000000000002,175.70000000000002,5.3,2.0,8.799999999999999,3.5,1.4000000000000001,104.0,17.900000000000002,10.799999999999999,0.0,0.0,5.1000000000000005,16.900000000000002,61738,0,0,0,3,BOX ELDER
26,30026,183.0,338.40000000000003,1.8491803278688526,179.39999999999998,11.999999999999998,21.1,146.29999999999998,189.7,11.299999999999999,0.7000000000000001,10.700000000000001,10.4,0.5,42.800000000000004,79.8,23.2,0.0,0.0,0.0,10.299999999999999,54266,0,0,0,3,BOX ELDER
27,30027,15.1,42.6,2.8211920529801326,6.9,0.8999999999999999,2.5,3.5,31.200000000000003,0.5,0.39999999999999997,1.8,0.7000000000000001,0.3,0.7999999999999999,0.7000000000000001,1.7,0.0,0.0,23.400000000000002,0.9,71342,0,0,0,3,BOX ELDER
28,30028,82.3,147.5,1.7922235722964763,228.7,22.8,124.8,81.1,300.4000000000001,12.700000000000001,10.1,107.5,17.3,7.2,18.8,15.299999999999999,39.800000000000004,0.0,0.0,67.10000000000001,4.6000000000000005,71342,0,0,0,3,BOX ELDER
